,Trade Qty,Avg_Cost
0,1.0,6.338028169014085
1,2.0,5.013835085777532
2,3.0,5.018401682439538
3,4.0,5.018903591682419
4,5.0,6.6169491525423725
5,6.0,5.012722646310432
6,7.0,5.166666666666667
7,8.0,5.138888888888889
8,9.0,5.150732127476314
9,10.0,9.463963963963964
10,11.0,11.643835616438356
11,12.0,11.809895833333334
12,13.0,5.0997150997151
13,14.0,5.247813411078717
14,15.0,5.0
15,16.0,5.2272727272727275
16,17.0,5.0
17,18.0,5.32258064516129
18,19.0,20.0
19,20.0,15.54054054054054
20,21.0,47.166666666666664
21,22.0,21.136363636363637
22,23.0,5.0
23,24.0,32.361111111111114
24,25.0,5.272
25,26.0,14.62519623233909
26,27.0,24.0
27,28.0,5.0
28,29.0,5.0
29,30.0,46.666666666666664
30,31.0,26.11111111111111
31,32.0,5.833333333333333
32,33.0,102.5
33,34.0,56.25
34,35.0,91.0
35,36.0,112.5
36,37.0,70.71428571428571
37,38.0,5.0
38,39.0,5.0
39,40.0,7.75
40,41.0,5.0
41,42.0,5.0
42,43.0,6.25
43,44.0,132.5
44,45.0,145.0
45,46.0,5.0
46,47.0,74.16666666666667
47,48.0,85.0
48,49.0,5.0
49,50.0,5.0
50,51.0,7.5
51,52.0,63.97435897435897
52,53.0,5.555555555555555
53,54.0,180.0
54,55.0,270.0
55,56.0,5.0
56,57.0,175.0
57,59.0,5.0
58,60.0,315.0
59,61.0,131.55737704918033
60,62.0,5.0
61,63.0,435.0
62,64.0,375.0
63,66.0,5.0
64,67.0,210.0
65,68.0,415.0
66,69.0,5.0
67,71.0,380.0
68,72.0,397.5
69,73.0,5.0
70,77.0,10.0
71,78.0,448.3333333333333
72,79.0,272.5
73,80.0,5.0
74,84.0,540.0
75,86.0,460.0
76,87.0,472.5
77,89.0,475.0
78,92.0,5.0
79,93.0,405.0
80,95.0,385.0
81,99.0,475.0
82,101.0,5.0
83,102.0,5.0
84,107.0,380.0
85,110.0,495.0
86,111.0,380.0
87,112.0,540.0
88,130.0,405.0
89,137.0,395.0
90,139.0,395.0
91,148.0,495.0
92,151.0,495.0
93,153.0,495.0
94,156.0,475.0
95,169.0,385.0
96,170.0,385.0
97,171.0,465.0
98,178.0,435.0
99,202.0,465.0
100,204.0,435.0
101,206.0,13.058252427184467
102,228.0,415.0
103,250.0,540.0
104,260.0,475.0
105,264.0,405.0
106,302.0,505.0
107,321.0,375.0
108,361.0,415.0
109,371.0,415.0
110,539.0,415.0
111,653.0,415.0
112,714.0,415.0
113,745.0,395.0
114,1119.0,415.0
115,1245.0,540.0
