,Li,lamb,Co,Al,u,eta
0,1.0,0.9891891891891892,139.0,226.0,0.3075221238938053,0.30419756039225065
1,2.0,0.002702702702702703,0.0,1.0,-0.5,-0.0013513513513513514
2,3.0,0.002702702702702703,0.0,1.0,-1.0,-0.002702702702702703
3,4.0,0.002702702702702703,1.0,0.0,inf,inf
4,5.0,0.002702702702702703,0.0,1.0,-2.0,-0.005405405405405406
