side,same,same,same,same,opps,opps,opps,opps
event,DC  ,DT  ,DT+F,F   ,DC  ,DT  ,DT+F,F   
DC  ,0,0,8,1368,0,0,105,45
DT  ,0,3,54,1296,0,0,228,206
DT+F,1,0,26,280,0,0,78,115
F   ,1046,689,0,1,479,1095,0,1
