,Trade Qty,Avg_Cost
0,1.0,5.053407934893184
1,2.0,5.0085372794536145
2,3.0,5.003523608174771
3,4.0,5.0
4,5.0,5.046762589928058
5,6.0,5.0
6,7.0,5.0
7,8.0,5.0
8,9.0,5.045913682277319
9,10.0,5.0
10,11.0,5.061633281972265
11,12.0,5.0
12,13.0,5.0
13,14.0,5.0
14,15.0,5.0
15,16.0,5.214285714285714
16,17.0,5.0
17,18.0,5.0
18,19.0,5.0
19,20.0,5.111111111111111
20,21.0,5.0
21,22.0,5.2631578947368425
22,23.0,5.0
23,24.0,6.111111111111111
24,25.0,5.8
25,26.0,5.0
26,27.0,6.104833647206529
27,28.0,5.273109243697479
28,29.0,5.258620689655173
29,30.0,5.5
30,31.0,5.0
31,32.0,6.119791666666667
32,33.0,5.0
33,34.0,5.0
34,35.0,5.0
35,36.0,5.0
36,37.0,7.882882882882883
37,38.0,5.0
38,39.0,5.0
39,40.0,5.0
40,41.0,5.0
41,42.0,5.0
42,43.0,5.0
43,44.0,10.454545454545455
44,45.0,5.0
45,46.0,5.0
46,47.0,5.0
47,49.0,5.0
48,50.0,5.0
49,51.0,6.372549019607843
50,53.0,5.0
51,54.0,5.308641975308642
52,55.0,9.818181818181818
53,56.0,5.0
54,60.0,7.666666666666667
55,63.0,5.0
56,64.0,5.0
57,65.0,5.0
58,70.0,5.0
59,84.0,10.0
60,95.0,5.0
61,114.0,25.0
62,117.0,5.0
63,132.0,15.454545454545455
64,192.0,5.0
65,260.0,10.038461538461538
