,Li,lamb,Co,Al,u,eta
0,0.5,0.8798472634705133,9894.0,10844.0,0.47809848764293617,0.4206536460220284
1,1.0,0.10008485362749257,776.0,1582.0,0.24525916561314792,0.02454672769119287
2,1.5,0.014382689859991514,104.0,235.0,0.08191489361702126,0.0011781565098078152
3,2.0,0.003182011030971574,26.0,49.0,0.030612244897959218,9.740850094810952e-05
4,2.5,0.0012728044123886295,4.0,26.0,-0.5576923076923077,-0.0007098332299859665
5,3.0,0.0006364022061943148,2.0,13.0,-0.7692307692307692,-0.0004895401586110113
6,3.5,0.00033941450997030124,1.0,7.0,-1.0,-0.00033941450997030124
7,4.0,0.00012728044123886295,1.0,2.0,-0.5,-6.364022061943148e-05
8,5.5,4.2426813746287656e-05,0.0,1.0,-2.25,-9.546033092914723e-05
9,10.5,4.2426813746287656e-05,1.0,0.0,inf,inf
10,33.0,4.2426813746287656e-05,1.0,0.0,inf,inf
