,Li,lamb,Co,Al,u,eta
0,1.0,0.9232591189009948,6976.0,8615.0,0.4048752176436448,0.37380473670652
1,2.0,0.06193747039317859,268.0,778.0,-0.15552699228791766,-0.009632948480173015
2,3.0,0.008882046423495974,44.0,106.0,-0.37735849056603765,-0.003351715631507914
3,4.0,0.002546186641402179,7.0,36.0,-1.1111111111111112,-0.0028290962682246436
4,5.0,0.0007105637138796779,4.0,8.0,-0.75,-0.0005329227854097584
5,6.0,0.0006513500710563714,2.0,9.0,-1.8333333333333335,-0.001194141796936681
6,7.0,0.00023685457129322596,1.0,3.0,-1.8333333333333335,-0.00043423338070424766
7,8.0,5.921364282330649e-05,0.0,1.0,-3.5,-0.00020724774988157272
8,9.0,0.00023685457129322596,1.0,3.0,-2.5000000000000004,-0.000592136428233065
9,10.0,0.00023685457129322596,1.0,3.0,-2.833333333333334,-0.0006710879519974737
10,11.0,0.00017764092846991948,0.0,3.0,-5.0,-0.0008882046423495974
11,12.0,0.00011842728564661298,0.0,2.0,-5.5,-0.0006513500710563714
12,13.0,0.00011842728564661298,1.0,1.0,0.5,5.921364282330649e-05
13,14.0,0.00017764092846991948,0.0,3.0,-6.5,-0.0011546660350544766
14,15.0,0.00017764092846991948,1.0,2.0,-3.25,-0.0005773330175272383
15,16.0,5.921364282330649e-05,1.0,0.0,inf,inf
16,18.0,0.00011842728564661298,0.0,2.0,-8.5,-0.0010066319279962103
17,22.0,5.921364282330649e-05,0.0,1.0,-10.5,-0.0006217432496447181
18,26.0,5.921364282330649e-05,0.0,1.0,-12.5,-0.0007401705352913312
19,39.0,5.921364282330649e-05,1.0,0.0,inf,inf
20,45.0,5.921364282330649e-05,0.0,1.0,-22.0,-0.0013027001421127427
21,71.0,5.921364282330649e-05,1.0,0.0,inf,inf
