,Li,lamb,Co,Al,u,eta
0,1.0,0.9582375478927203,4136.0,5867.0,0.3524799727288222,0.33775954474895953
1,2.0,0.0339080459770115,92.0,262.0,-0.14885496183206115,-0.005047380889707821
2,3.0,0.003735632183908046,8.0,31.0,-0.6129032258064515,-0.0022895810159436407
3,4.0,0.0015325670498084292,5.0,11.0,-0.5909090909090908,-0.0009056078021595262
4,5.0,0.0013409961685823754,2.0,12.0,-1.5833333333333335,-0.0021232439335887613
5,6.0,0.0005747126436781609,2.0,4.0,-1.0,-0.0005747126436781609
6,7.0,0.00028735632183908046,0.0,3.0,-3.0,-0.0008620689655172414
7,8.0,0.00019157088122605365,0.0,2.0,-3.5,-0.0006704980842911878
8,15.0,9.578544061302682e-05,1.0,0.0,inf,inf
9,19.0,9.578544061302682e-05,1.0,0.0,inf,inf
