,Li,lamb,Co,Al,u,eta
0,0.5,0.776991694863119,1246.0,1279.0,0.49354964816262703,0.38348397762497566
1,1.0,0.17410027683789603,232.0,334.0,0.3473053892215569,0.060465964410766286
2,1.5,0.03691171947093202,47.0,73.0,0.23287671232876717,0.00859587987679239
3,2.0,0.007382343894186404,9.0,15.0,0.09999999999999998,0.0007382343894186403
4,2.5,0.0027683789603199014,2.0,7.0,-0.3928571428571429,-0.0010875774486971044
5,3.0,0.0012303906490310674,2.0,2.0,0.5,0.0006151953245155337
6,3.5,0.0006151953245155337,1.0,1.0,0.5,0.00030759766225776686
