side,same,same,same,same,opps,opps,opps,opps
event,DC  ,DT  ,DT+F,F   ,DC  ,DT  ,DT+F,F   
DC  ,31,78,558,12177,67,32,810,6309
DT  ,82,372,605,10294,259,135,2022,5874
DT+F,59,75,307,2236,78,36,320,1526
F   ,11041,7442,12,330,8444,11474,3,643
