,Li,lamb,Co,Al,u,eta
0,0.5,0.832658622031919,21355.0,21426.0,0.4991715672547372,0.4156395093478429
1,1.0,0.1444141689373297,2464.0,4956.0,0.24858757062146897,0.0358995674194492
2,1.5,0.018684312962242117,301.0,659.0,0.0925644916540212,0.0017295039312545805
3,2.0,0.002783184118333982,39.0,104.0,-0.125,-0.00034789801479174776
4,2.5,0.0007979758660957571,19.0,22.0,0.3295454545454546,0.00026296931950882906
5,3.0,0.0003114052160373686,4.0,12.0,-0.5,-0.0001557026080186843
6,3.5,5.8388478007006614e-05,1.0,2.0,-0.375,-2.189567925262748e-05
7,4.0,7.785130400934215e-05,1.0,3.0,-0.8333333333333335,-6.48760866744518e-05
8,4.5,7.785130400934215e-05,3.0,1.0,5.0,0.00038925652004671076
9,5.0,3.8925652004671076e-05,1.0,1.0,0.5,1.9462826002335538e-05
10,5.5,1.9462826002335538e-05,0.0,1.0,-2.25,-4.379135850525496e-05
11,6.0,3.8925652004671076e-05,1.0,1.0,0.5,1.9462826002335538e-05
12,9.0,1.9462826002335538e-05,1.0,0.0,inf,inf
13,9.5,1.9462826002335538e-05,1.0,0.0,inf,inf
