,Li,lamb,Co,Al,u,eta
0,0.5,0.9114917915774446,5847.0,6922.0,0.4611745160358278,0.42035678585135766
1,1.0,0.07052105638829408,255.0,733.0,0.17394270122783084,0.012266623041620048
2,1.5,0.009350463954318345,36.0,95.0,0.034210526315789525,0.0003198842931740491
3,2.0,0.0033547466095645967,14.0,33.0,-0.07575757575757569,-0.00025414747042156014
4,2.5,0.0011420413990007139,5.0,11.0,-0.18181818181818177,-0.00020764389072740246
5,3.0,0.0006423982869379015,4.0,5.0,0.20000000000000007,0.00012847965738758033
6,3.5,0.0008565310492505353,4.0,8.0,-0.375,-0.00032119914346895073
7,4.0,7.137758743754462e-05,1.0,0.0,inf,inf
8,4.5,0.00028551034975017847,0.0,4.0,-1.75,-0.0004996431120628123
9,5.0,0.0004996431120628123,1.0,6.0,-1.5833333333333335,-0.0007911015940994529
10,5.5,0.00014275517487508923,0.0,2.0,-2.25,-0.0003211991434689508
11,6.0,0.00028551034975017847,2.0,2.0,0.5,0.00014275517487508923
12,6.5,0.00014275517487508923,0.0,2.0,-2.75,-0.0003925767309064954
13,7.0,0.00035688793718772306,1.0,4.0,-2.125,-0.0007583868665239115
14,7.5,7.137758743754462e-05,0.0,1.0,-3.25,-0.00023197715917202
15,8.0,0.00028551034975017847,0.0,4.0,-3.5,-0.0009992862241256246
16,9.5,7.137758743754462e-05,0.0,1.0,-4.25,-0.00030335474660956463
17,11.0,0.00028551034975017847,1.0,3.0,-3.166666666666667,-0.0009041161075422319
18,12.5,7.137758743754462e-05,0.0,1.0,-5.75,-0.00041042112776588154
19,15.5,7.137758743754462e-05,1.0,0.0,inf,inf
