,Li,lamb,Co,Al,u,eta
0,0.5,0.8566023132820226,9402.0,10519.0,0.4734527996957886,0.4055607634492626
1,1.0,0.11682504192286193,821.0,1896.0,0.2165084388185654,0.025293607441632292
2,1.5,0.017414111880294104,96.0,309.0,-0.016990291262135915,-0.0002958708329176181
3,2.0,0.004987745624973126,32.0,84.0,-0.11904761904761907,-0.0005937792410682294
4,2.5,0.00159091886313798,13.0,24.0,-0.07291666666666674,-0.00011600450043714449
5,3.0,0.0006019692995657221,5.0,9.0,-0.16666666666666663,-0.000100328216594287
6,3.5,0.00030098464978286105,2.0,5.0,-0.55,-0.0001655415573805736
7,4.0,0.0003869802640065357,2.0,7.0,-0.9285714285714286,-0.00035933881657749747
8,4.5,0.0002149890355591865,2.0,3.0,-0.2500000000000001,-5.374725888979665e-05
9,5.0,8.599561422367459e-05,0.0,2.0,-2.0,-0.00017199122844734917
10,5.5,0.00012899342133551188,1.0,2.0,-0.875,-0.0001128692436685729
11,6.0,0.00012899342133551188,0.0,3.0,-2.5,-0.00032248355333877967
12,6.5,8.599561422367459e-05,1.0,1.0,0.5,4.299780711183729e-05
13,7.0,0.00012899342133551188,0.0,3.0,-3.0,-0.00038698026400653564
14,7.5,0.00017199122844734917,2.0,2.0,0.5,8.599561422367459e-05
15,9.0,8.599561422367459e-05,0.0,2.0,-4.0,-0.00034398245689469835
16,11.0,4.299780711183729e-05,0.0,1.0,-5.0,-0.00021498903555918647
17,15.0,4.299780711183729e-05,0.0,1.0,-7.0,-0.00030098464978286105
18,15.5,4.299780711183729e-05,1.0,0.0,inf,inf
19,16.5,4.299780711183729e-05,1.0,0.0,inf,inf
20,17.0,4.299780711183729e-05,1.0,0.0,inf,inf
21,18.0,4.299780711183729e-05,1.0,0.0,inf,inf
