,Li,lamb,Co,Al,u,eta
0,0.5,0.9194748140382407,7699.0,10718.0,0.4295810785594327,0.3949889823227813
1,1.0,0.06524886426039639,311.0,996.0,0.15612449799196787,0.01018694617720044
2,1.5,0.008436922769706954,40.0,129.0,-0.01744186046511631,-0.00014715562970419132
3,2.0,0.003444660775797514,14.0,55.0,-0.24545454545454548,-0.0008455076449684808
4,2.5,0.0010483750187209825,5.0,16.0,-0.359375,-0.00037675977235285306
5,3.0,0.0009485297788427937,6.0,13.0,-0.3076923076923077,-0.0002918553165670135
6,3.5,0.000499226199390944,2.0,8.0,-0.8125,-0.00040562128700514204
7,4.0,0.000249613099695472,1.0,4.0,-1.0,-0.000249613099695472
8,4.5,0.0002995357196345664,2.0,4.0,-0.625,-0.00018720982477160402
9,5.0,0.0001497678598172832,1.0,2.0,-0.75,-0.00011232589486296241
10,5.5,4.9922619939094404e-05,1.0,0.0,inf,inf
11,7.0,4.9922619939094404e-05,0.0,1.0,-3.0,-0.0001497678598172832
12,8.5,4.9922619939094404e-05,0.0,1.0,-3.75,-0.00018720982477160402
13,52.0,4.9922619939094404e-05,1.0,0.0,inf,inf
