,Li,lamb,Co,Al,u,eta
0,0.5,0.9544799525303043,4542.0,6718.0,0.41902351890443584,0.39994954843298697
1,1.0,0.04128168178350428,84.0,402.0,0.10447761194029848,0.004313011529619849
2,1.5,0.0023734847842671867,5.0,23.0,-0.08695652173913049,-0.00020638998124062507
3,2.0,0.0007629058235144528,3.0,6.0,0.0,0.0
4,2.5,8.47673137238281e-05,0.0,1.0,-0.75,-6.357548529287107e-05
5,3.0,0.0001695346274476562,0.0,2.0,-1.0,-0.0001695346274476562
6,3.5,8.47673137238281e-05,0.0,1.0,-1.25,-0.00010595914215478512
7,4.0,0.0001695346274476562,2.0,0.0,inf,inf
8,4.5,8.47673137238281e-05,1.0,0.0,inf,inf
9,6.0,8.47673137238281e-05,0.0,1.0,-2.5,-0.00021191828430957023
10,7.0,8.47673137238281e-05,1.0,0.0,inf,inf
11,9.0,8.47673137238281e-05,1.0,0.0,inf,inf
12,10.5,0.0001695346274476562,0.0,2.0,-4.75,-0.0008052894803763669
13,11.0,8.47673137238281e-05,1.0,0.0,inf,inf
