,Li,lamb,Co,Al,u,eta
0,1.0,0.8526677445432498,5506.0,7150.0,0.38503496503496504,0.3283068952066527
1,2.0,0.11135812449474536,414.0,1239.0,-0.16585956416464898,-0.018469809994891187
2,3.0,0.020816491511721907,77.0,232.0,-0.5021551724137931,-0.010453108884118977
3,4.0,0.005658852061438965,26.0,58.0,-0.603448275862069,-0.003414824519833858
4,5.0,0.0031662624629479924,12.0,35.0,-1.1428571428571428,-0.0036185856719405628
5,6.0,0.002492589598490973,8.0,29.0,-1.6724137931034484,-0.004168641225062489
6,7.0,0.0008084074373484236,2.0,10.0,-2.3000000000000003,-0.0018593371059013744
7,8.0,0.0008084074373484236,1.0,11.0,-3.1363636363636362,-0.00253545968986551
8,9.0,0.0006063055780113178,2.0,7.0,-2.7142857142857144,-0.0016456865688878625
9,10.0,0.00047157100511991377,2.0,5.0,-2.5,-0.0011789275127997844
10,11.0,0.0006063055780113178,1.0,8.0,-4.3125,-0.002614692805173808
11,12.0,0.0002021018593371059,0.0,3.0,-5.5,-0.0011115602263540823
12,13.0,6.736728644570196e-05,0.0,1.0,-6.0,-0.0004042037186742118
13,14.0,6.736728644570196e-05,0.0,1.0,-6.5,-0.00043788736189706275
14,18.0,6.736728644570196e-05,0.0,1.0,-8.5,-0.0005726219347884667
15,31.0,6.736728644570196e-05,1.0,0.0,inf,inf
16,40.0,6.736728644570196e-05,0.0,1.0,-19.5,-0.0013136620856911882
