,Li,lamb,Co,Al,u,eta
0,1.0,0.8964889466840053,3156.0,3737.0,0.42226384800642225,0.37855487232201235
1,2.0,0.08504551365409622,154.0,500.0,-0.19199999999999995,-0.016328738621586472
2,3.0,0.00871261378413524,28.0,39.0,0.07692307692307693,0.0006702010603180954
3,4.0,0.0035110533159947986,9.0,18.0,-0.5,-0.0017555266579973993
4,5.0,0.0018205461638491547,5.0,9.0,-0.6111111111111112,-0.0011125559890189278
5,6.0,0.0013003901170351106,7.0,3.0,4.5,0.005851755526657998
6,7.0,0.0007802340702210664,1.0,5.0,-2.3000000000000003,-0.0017945383615084528
7,8.0,0.0005201560468140442,0.0,4.0,-3.5,-0.0018205461638491547
8,9.0,0.0005201560468140442,0.0,4.0,-4.0,-0.002080624187256177
9,10.0,0.00013003901170351105,1.0,0.0,inf,inf
10,11.0,0.00013003901170351105,0.0,1.0,-5.0,-0.0006501950585175553
11,15.0,0.0005201560468140442,1.0,3.0,-4.500000000000001,-0.002340702210663199
12,17.0,0.00013003901170351105,0.0,1.0,-8.0,-0.0010403120936280884
13,19.0,0.00013003901170351105,0.0,1.0,-9.0,-0.0011703511053315994
14,24.0,0.00013003901170351105,0.0,1.0,-11.5,-0.0014954486345903771
15,25.0,0.00013003901170351105,1.0,0.0,inf,inf
