,Li,lamb,Co,Al,u,eta
0,1.0,0.910414333706607,2332.0,2545.0,0.4581532416502947,0.41710927823257515
1,2.0,0.0677491601343785,83.0,280.0,-0.20357142857142851,-0.013791793313069905
2,3.0,0.007278835386338186,11.0,28.0,-0.4107142857142858,-0.0029895216765317557
3,4.0,0.0024262784621127288,3.0,10.0,-0.8999999999999999,-0.002183650615901456
4,5.0,0.002799552071668533,3.0,12.0,-1.375,-0.0038493840985442326
5,6.0,0.0016797312430011197,3.0,6.0,-1.0,-0.0016797312430011197
6,7.0,0.000933184023889511,0.0,5.0,-3.0,-0.002799552071668533
7,8.0,0.0022396416573348264,1.0,11.0,-3.1363636363636362,-0.007024330652550137
8,9.0,0.000933184023889511,1.0,4.0,-2.875,-0.0026829040686823444
9,10.0,0.0007465472191116088,0.0,4.0,-4.5,-0.00335946248600224
10,11.0,0.0007465472191116088,0.0,4.0,-5.0,-0.003732736095558044
11,12.0,0.0001866368047779022,0.0,1.0,-5.5,-0.001026502426278462
12,13.0,0.0005599104143337066,2.0,1.0,7.0,0.003919372900335946
13,16.0,0.0001866368047779022,0.0,1.0,-7.5,-0.0013997760358342665
14,17.0,0.0001866368047779022,0.0,1.0,-8.0,-0.0014930944382232176
15,18.0,0.0005599104143337066,0.0,3.0,-8.5,-0.004759238521836506
16,29.0,0.0001866368047779022,1.0,0.0,inf,inf
17,46.0,0.0001866368047779022,1.0,0.0,inf,inf
