,Li,lamb,Co,Al,u,eta
0,1.0,0.9600230083405235,1608.0,1729.0,0.4650086755349913,0.4464190275915447
1,2.0,0.03508771929824561,29.0,93.0,-0.18817204301075274,-0.006602527824938692
2,3.0,0.0020132297958009777,1.0,6.0,-0.75,-0.0015099223468507334
3,4.0,0.0008628127696289905,2.0,1.0,2.5,0.0021570319240724763
4,6.0,0.0005752085130859936,0.0,2.0,-2.5,-0.001438021282714984
5,7.0,0.0005752085130859936,0.0,2.0,-3.0,-0.0017256255392579809
6,8.0,0.0002876042565429968,1.0,0.0,inf,inf
7,9.0,0.0002876042565429968,0.0,1.0,-4.0,-0.0011504170261719873
8,17.0,0.0002876042565429968,1.0,0.0,inf,inf
