,Li,lamb,Co,Al,u,eta
0,1.0,0.9490695396669931,2568.0,3245.0,0.39568567026194146,0.3755332169283264
1,2.0,0.037055174665360756,62.0,165.0,-0.12424242424242427,-0.004603824731150882
2,3.0,0.004733920992491022,13.0,16.0,0.21875,0.001035545217107411
3,4.0,0.002285341168788769,3.0,11.0,-0.9545454545454546,-0.002181462024752916
4,5.0,0.0004897159647404506,2.0,1.0,3.0,0.0014691478942213516
5,6.0,0.0009794319294809011,4.0,2.0,3.5,0.0034280117531831538
6,7.0,0.000326477309826967,1.0,1.0,0.5,0.0001632386549134835
7,8.0,0.0008161932745674175,2.0,3.0,-0.8333333333333335,-0.0006801610621395148
8,9.0,0.0004897159647404506,2.0,1.0,5.0,0.002448579823702253
9,10.0,0.0001632386549134835,0.0,1.0,-4.5,-0.0007345739471106758
10,11.0,0.0008161932745674175,4.0,1.0,17.0,0.013875285667646097
11,13.0,0.0001632386549134835,0.0,1.0,-6.0,-0.0009794319294809011
12,14.0,0.0001632386549134835,1.0,0.0,inf,inf
13,15.0,0.0001632386549134835,1.0,0.0,inf,inf
14,16.0,0.0001632386549134835,0.0,1.0,-7.5,-0.0012242899118511262
15,17.0,0.000326477309826967,0.0,2.0,-8.0,-0.002611818478615736
16,19.0,0.000326477309826967,1.0,1.0,0.5,0.0001632386549134835
17,20.0,0.000326477309826967,0.0,2.0,-9.5,-0.003101534443356187
18,23.0,0.0001632386549134835,1.0,0.0,inf,inf
19,26.0,0.0001632386549134835,0.0,1.0,-12.5,-0.002040483186418544
20,28.0,0.000326477309826967,1.0,1.0,0.5,0.0001632386549134835
21,31.0,0.0001632386549134835,0.0,1.0,-15.0,-0.0024485798237022524
22,32.0,0.0001632386549134835,0.0,1.0,-15.5,-0.0025301991511589945
23,35.0,0.0001632386549134835,0.0,1.0,-17.0,-0.00277505713352922
