,Li,lamb,Co,Al,u,eta
0,1.0,0.9220825852782765,1110.0,1457.0,0.3809196980096088,0.3512394199241204
1,2.0,0.0473967684021544,42.0,90.0,-0.033333333333333326,-0.001579892280071813
2,3.0,0.00933572710951526,9.0,17.0,-0.2058823529411764,-0.0019220614637237294
3,4.0,0.0039497307001795335,6.0,5.0,0.8999999999999999,0.00355475763016158
4,5.0,0.003590664272890485,5.0,5.0,0.5,0.0017953321364452424
5,6.0,0.003231597845601436,1.0,8.0,-2.125,-0.006867145421903052
6,7.0,0.0025134649910233393,4.0,3.0,1.6666666666666665,0.004189108318372232
7,8.0,0.0010771992818671453,2.0,1.0,4.5,0.004847396768402154
8,9.0,0.000718132854578097,1.0,1.0,0.5,0.0003590664272890485
9,10.0,0.001436265709156194,1.0,3.0,-2.833333333333334,-0.004069419509275884
10,11.0,0.0003590664272890485,1.0,0.0,inf,inf
11,12.0,0.000718132854578097,0.0,2.0,-5.5,-0.0039497307001795335
12,14.0,0.0003590664272890485,0.0,1.0,-6.5,-0.0023339317773788154
13,16.0,0.000718132854578097,1.0,1.0,0.5,0.0003590664272890485
14,17.0,0.000718132854578097,1.0,1.0,0.5,0.0003590664272890485
15,18.0,0.0003590664272890485,0.0,1.0,-8.5,-0.0030520646319569123
16,20.0,0.0003590664272890485,0.0,1.0,-9.5,-0.0034111310592459605
17,23.0,0.0003590664272890485,0.0,1.0,-11.0,-0.0039497307001795335
18,28.0,0.0003590664272890485,0.0,1.0,-13.5,-0.004847396768402155
19,54.0,0.0003590664272890485,1.0,0.0,inf,inf
