,Li,lamb,Co,Al,u,eta
0,1.0,0.9108662295996652,2874.0,3655.0,0.3931600547195622,0.3581162166716057
1,2.0,0.07797461291672479,141.0,418.0,-0.16267942583732053,-0.012684865259180106
2,3.0,0.005719068210350118,11.0,30.0,-0.44999999999999996,-0.002573580694657553
3,4.0,0.0023713209652671224,7.0,10.0,-0.10000000000000009,-0.00023713209652671246
4,5.0,0.00041846840563537454,0.0,3.0,-2.0,-0.0008369368112707491
5,6.0,0.00041846840563537454,1.0,2.0,-1.0,-0.00041846840563537454
6,7.0,0.0005579578741804993,1.0,3.0,-1.8333333333333335,-0.0010229227693309155
7,8.0,0.00041846840563537454,1.0,2.0,-1.5,-0.0006277026084530618
8,9.0,0.00013948946854512484,1.0,0.0,inf,inf
9,10.0,0.00041846840563537454,1.0,2.0,-2.0,-0.0008369368112707491
10,12.0,0.0002789789370902497,1.0,1.0,0.5,0.00013948946854512484
11,14.0,0.00013948946854512484,0.0,1.0,-6.5,-0.0009066815455433115
12,15.0,0.00013948946854512484,0.0,1.0,-7.0,-0.0009764262798158739
13,74.0,0.00013948946854512484,1.0,0.0,inf,inf
