,Li,lamb,Co,Al,u,eta
0,1.0,0.8794093519278097,1835.0,2452.0,0.374184339314845,0.3290612073384035
1,2.0,0.09598031173092698,88.0,380.0,-0.2684210526315789,-0.0257631363067225
2,3.0,0.01394585726004922,18.0,50.0,-0.45999999999999996,-0.006415094339622641
3,4.0,0.004101722723543888,11.0,9.0,0.9444444444444446,0.003873849238902562
4,5.0,0.002461033634126333,4.0,8.0,-0.75,-0.00184577522559475
5,6.0,0.001435602953240361,2.0,5.0,-1.2999999999999998,-0.001866283839212469
6,7.0,0.0008203445447087777,3.0,1.0,7.5,0.006152584085315833
7,8.0,0.001025430680885972,1.0,4.0,-2.5,-0.00256357670221493
8,9.0,0.00041017227235438887,0.0,2.0,-4.0,-0.0016406890894175555
9,16.0,0.00020508613617719443,1.0,0.0,inf,inf
10,44.0,0.00020508613617719443,1.0,0.0,inf,inf
