,Li,lamb,Co,Al,u,eta
0,1.0,0.9327258627374951,1866.0,2944.0,0.31691576086956524,0.29559552647217496
1,2.0,0.06223342380767739,39.0,282.0,-0.36170212765957444,-0.022509961802776927
2,3.0,0.002714230321830167,1.0,13.0,-0.8846153846153846,-0.002401049900080532
3,4.0,0.0009693679720822024,0.0,5.0,-1.5,-0.0014540519581233036
4,5.0,0.00038774718883288094,1.0,1.0,0.5,0.00019387359441644047
5,7.0,0.00019387359441644047,1.0,0.0,inf,inf
6,8.0,0.00019387359441644047,1.0,0.0,inf,inf
7,12.0,0.00019387359441644047,0.0,1.0,-5.5,-0.0010663047692904225
8,14.0,0.00019387359441644047,0.0,1.0,-6.5,-0.001260178363706863
9,22.0,0.00019387359441644047,1.0,0.0,inf,inf
