,Li,lamb,Co,Al,u,eta
0,1.0,0.881305081567598,2174.0,2525.0,0.4304950495049505,0.3793974747184075
1,2.0,0.1008813050815676,149.0,389.0,-0.11696658097686374,-0.011799741339874874
2,3.0,0.012563285205325334,18.0,49.0,-0.44897959183673475,-0.005640658663615457
3,4.0,0.001125070316894806,1.0,5.0,-1.1,-0.0012375773485842866
4,5.0,0.0013125820363772737,3.0,4.0,-0.125,-0.0001640727545471592
5,6.0,0.0015000937558597412,1.0,7.0,-2.0714285714285716,-0.0031073370657094643
6,10.0,0.00018751171948246765,1.0,0.0,inf,inf
7,11.0,0.000562535158447403,1.0,2.0,-2.25,-0.0012657041065066567
8,12.0,0.00018751171948246765,0.0,1.0,-5.5,-0.0010313144571535721
9,16.0,0.00018751171948246765,1.0,0.0,inf,inf
10,30.0,0.00018751171948246765,1.0,0.0,inf,inf
