,Li,lamb,Co,Al,u,eta
0,1.0,0.919459359377893,2520.0,2445.0,0.5153374233128835,0.4738318171027179
1,2.0,0.06702462506943159,120.0,242.0,-0.004132231404958664,-0.000276961260617485
2,3.0,0.010183299389002037,26.0,29.0,0.3448275862068966,0.003511482547931737
3,4.0,0.0012960562858729864,5.0,2.0,3.5,0.004536197000555452
4,5.0,0.0009257544899092761,0.0,5.0,-2.0,-0.0018515089798185522
5,6.0,0.00018515089798185522,1.0,0.0,inf,inf
6,7.0,0.00018515089798185522,1.0,0.0,inf,inf
7,9.0,0.00018515089798185522,1.0,0.0,inf,inf
8,10.0,0.00018515089798185522,0.0,1.0,-4.5,-0.0008331790409183484
9,14.0,0.00018515089798185522,1.0,0.0,inf,inf
10,15.0,0.00018515089798185522,1.0,0.0,inf,inf
