,Li,lamb,Co,Al,u,eta
0,1.0,0.8653344917463076,2913.0,3062.0,0.47566949706074463,0.4116132224782812
1,2.0,0.1123660584998552,214.0,562.0,-0.11921708185053381,-0.013395953593399108
2,3.0,0.015493773530263539,28.0,79.0,-0.4683544303797469,-0.00725657747619938
3,4.0,0.00333043730089777,8.0,15.0,-0.43333333333333335,-0.0014431894970557005
4,5.0,0.0014480162177816392,4.0,6.0,-0.3333333333333335,-0.0004826720725938799
5,6.0,0.0011584129742253113,3.0,5.0,-0.7000000000000002,-0.000810889081957718
6,7.0,0.0002896032435563278,0.0,2.0,-3.0,-0.0008688097306689834
7,8.0,0.0001448016217781639,1.0,0.0,inf,inf
8,9.0,0.0001448016217781639,0.0,1.0,-4.0,-0.0005792064871126556
9,10.0,0.0001448016217781639,0.0,1.0,-4.5,-0.0006516072980017376
10,15.0,0.0001448016217781639,1.0,0.0,inf,inf
