,Li,lamb,Co,Al,u,eta
0,1.0,0.9464139846430322,2446.0,3346.0,0.3655110579796772,0.34592477681363665
1,2.0,0.043293579480477046,41.0,224.0,-0.3169642857142857,-0.013722518496044063
2,3.0,0.0052279039372651525,10.0,22.0,-0.3181818181818181,-0.0016634239800389118
3,4.0,0.0016337199803953602,5.0,5.0,0.5,0.0008168599901976801
4,5.0,0.00032674399607907203,0.0,2.0,-2.0,-0.0006534879921581441
5,6.0,0.001143603986276752,2.0,5.0,-1.2999999999999998,-0.0014866851821597775
6,7.0,0.00016337199803953602,0.0,1.0,-3.0,-0.000490115994118608
7,13.0,0.00016337199803953602,1.0,0.0,inf,inf
8,19.0,0.000490115994118608,2.0,1.0,10.0,0.00490115994118608
9,20.0,0.000490115994118608,1.0,2.0,-4.5,-0.002205521973533736
10,21.0,0.00016337199803953602,0.0,1.0,-10.0,-0.0016337199803953602
11,27.0,0.00016337199803953602,0.0,1.0,-13.0,-0.0021238359745139684
12,37.0,0.00016337199803953602,0.0,1.0,-18.0,-0.0029406959647116484
13,62.0,0.00016337199803953602,1.0,0.0,inf,inf
