side,same,same,same,same,opps,opps,opps,opps
event,DC  ,DT  ,DT+F,F   ,DC  ,DT  ,DT+F,F   
DC  ,66,116,17,4416,102,74,62,1353
DT  ,69,185,74,3446,115,123,305,2234
DT+F,23,21,17,207,30,36,17,145
F   ,4312,3040,3,424,1488,2957,1,409
