side,same,same,same,same,opps,opps,opps,opps
event,DC  ,DT  ,DT+F,F   ,DC  ,DT  ,DT+F,F   
DC  ,12,14,260,16811,9,6,926,2368
DT  ,14,48,441,10531,22,18,1669,4127
DT+F,15,17,214,2303,17,6,475,940
F   ,11868,6825,1,58,8449,9937,1,62
