,Li,lamb,Co,Al,u,eta
0,1.0,0.9822294022617124,2447.0,3024.0,0.40459656084656087,0.397406638117462
1,2.0,0.014719080954945252,17.0,65.0,-0.2384615384615385,-0.003509934689256176
2,3.0,0.0010770059235325794,3.0,3.0,0.5,0.0005385029617662897
3,5.0,0.0001795009872554299,0.0,1.0,-2.0,-0.0003590019745108598
4,6.0,0.0007180039490217197,0.0,4.0,-2.5,-0.0017950098725542992
5,8.0,0.0001795009872554299,0.0,1.0,-3.5,-0.0006282534553940047
6,9.0,0.0003590019745108598,0.0,2.0,-4.0,-0.0014360078980434393
7,12.0,0.0001795009872554299,1.0,0.0,inf,inf
8,17.0,0.0001795009872554299,0.0,1.0,-8.0,-0.0014360078980434393
9,19.0,0.0001795009872554299,1.0,0.0,inf,inf
