,Trade Qty,Avg_Cost
0,1.0,0.2583625730994152
1,2.0,0.2544861337683524
2,3.0,0.25388540941776855
3,4.0,0.25345238095238093
4,5.0,0.2718279569892473
5,6.0,0.29063701263042285
6,7.0,0.2530730897009967
7,8.0,0.256993006993007
8,9.0,0.2586180363188674
9,10.0,0.28546910755148747
10,11.0,0.25480950584685025
11,12.0,0.3527397260273973
12,13.0,0.3879834854411126
13,14.0,0.26247848537005164
14,15.0,0.2831845238095238
15,16.0,0.25891012396694213
16,17.0,0.25681114551083595
17,18.0,0.2536549707602339
18,19.0,0.2669407894736842
19,20.0,0.2734
20,21.0,0.2522675736961451
21,22.0,0.26910058027079303
22,23.0,0.27702702702702703
23,24.0,0.26407657657657657
24,25.0,0.2756
25,26.0,0.27601809954751133
26,27.0,0.2857142857142857
27,28.0,0.2663690476190476
28,29.0,0.275
29,30.0,0.2833333333333333
30,31.0,0.25
31,32.0,0.25
32,33.0,0.25
33,34.0,0.25
34,35.0,0.2661904761904762
35,36.0,0.29814814814814816
36,37.0,0.25506756756756754
37,38.0,0.2942583732057416
38,39.0,0.32297830374753456
39,40.0,0.2828125
40,41.0,0.32142857142857145
41,42.0,0.3476190476190476
42,43.0,0.2599667774086379
43,44.0,0.3494318181818182
44,45.0,0.25
45,46.0,0.25
46,47.0,0.33936170212765954
47,48.0,0.265625
48,49.0,0.25
49,50.0,5.194285714285714
50,51.0,0.25
51,52.0,0.25
52,53.0,0.25
53,54.0,0.4722222222222222
54,56.0,0.5
55,58.0,0.25
56,60.0,0.25
57,61.0,0.25
58,62.0,0.25
59,63.0,0.5793650793650794
60,64.0,0.25
61,65.0,0.4930769230769231
62,67.0,0.25
63,69.0,0.25
64,70.0,0.3107142857142857
65,71.0,0.25
66,73.0,0.7054794520547945
67,74.0,0.25
68,75.0,0.25
69,77.0,0.75
70,78.0,0.25
71,85.0,0.6911764705882353
72,90.0,0.25
73,91.0,0.8818681318681318
74,100.0,17.25
75,103.0,0.41504854368932037
76,104.0,0.25
77,111.0,0.25
78,112.0,0.25
79,113.0,0.9845132743362832
80,130.0,0.25
81,236.0,1.972457627118644
