,Li,lamb,Co,Al,u,eta
0,1.0,0.9231277533039648,1846.0,2344.0,0.3937713310580205,0.36350124415510215
1,2.0,0.052202643171806166,73.0,164.0,-0.054878048780487854,-0.00286477919845278
2,3.0,0.007709251101321586,18.0,17.0,0.5882352941176471,0.004534853589012698
3,4.0,0.004405286343612335,8.0,12.0,-0.16666666666666674,-0.0007342143906020562
4,5.0,0.003964757709251102,6.0,12.0,-0.75,-0.002973568281938326
5,6.0,0.0022026431718061676,0.0,10.0,-2.5,-0.005506607929515419
6,7.0,0.0013215859030837004,0.0,6.0,-3.0,-0.003964757709251102
7,8.0,0.001982378854625551,0.0,9.0,-3.5,-0.006938325991189428
8,9.0,0.0004405286343612335,0.0,2.0,-4.0,-0.001762114537444934
9,10.0,0.0004405286343612335,1.0,1.0,0.5,0.00022026431718061675
10,11.0,0.000881057268722467,0.0,4.0,-5.0,-0.004405286343612335
11,13.0,0.0004405286343612335,0.0,2.0,-6.0,-0.0026431718061674008
12,15.0,0.00022026431718061675,0.0,1.0,-7.0,-0.0015418502202643172
13,16.0,0.00022026431718061675,1.0,0.0,inf,inf
14,18.0,0.00022026431718061675,1.0,0.0,inf,inf
15,19.0,0.00022026431718061675,1.0,0.0,inf,inf
