,Li,lamb,Co,Al,u,eta
0,1.0,0.9487899451798368,3599.0,3496.0,0.5147311212814645,0.48837171234299664
1,2.0,0.044658376788340684,129.0,205.0,0.12926829268292683,0.005772912121419649
2,3.0,0.002674154298703035,6.0,14.0,-0.3571428571428571,-0.0009550551066796552
3,4.0,0.0012033694344163659,2.0,7.0,-0.9285714285714286,-0.0011174144748151969
4,5.0,0.0006685385746757588,1.0,4.0,-1.375,-0.0009192405401791683
5,6.0,0.0005348308597406071,1.0,3.0,-1.5,-0.0008022462896109106
6,7.0,0.00040112314480545525,0.0,3.0,-3.0,-0.0012033694344163659
7,8.0,0.0005348308597406071,0.0,4.0,-3.5,-0.0018719080090921249
8,9.0,0.00013370771493515177,0.0,1.0,-4.0,-0.0005348308597406071
9,12.0,0.00013370771493515177,0.0,1.0,-5.5,-0.0007353924321433348
10,22.0,0.00026741542987030354,2.0,0.0,inf,inf
