,Trade Qty,Avg_Cost
0,1.0,0.2921252518989304
1,2.0,0.273798467610866
2,3.0,0.2677571897317121
3,4.0,0.2901402961808262
4,5.0,0.25926130099228223
5,6.0,0.2999866879659212
6,7.0,0.26897546897546903
7,8.0,0.2626231527093596
8,9.0,0.26203113941967443
9,10.0,0.2748242530755711
10,11.0,0.27753303964757714
11,12.0,0.30433006535947715
12,13.0,0.2778649921507064
13,14.0,0.281015037593985
14,15.0,0.291260162601626
15,16.0,0.27208333333333334
16,17.0,0.275
17,18.0,0.2638888888888889
18,19.0,0.4221677074041035
19,20.0,0.3330508474576271
20,21.0,0.8956349206349207
21,22.0,0.34436758893280633
22,23.0,0.272883295194508
23,24.0,0.28799019607843135
24,25.0,0.9177777777777778
25,26.0,0.3221153846153846
26,27.0,0.3561253561253561
27,28.0,0.41135204081632654
28,29.0,0.36494252873563215
29,30.0,3.367857142857143
30,31.0,0.2894265232974911
31,32.0,0.44957386363636365
32,33.0,0.2755681818181818
33,34.0,0.34191176470588236
34,35.0,0.34047619047619043
35,36.0,0.25
36,37.0,0.3333333333333333
37,38.0,0.25
38,39.0,0.25
39,40.0,0.5625
40,41.0,0.39146341463414636
41,42.0,7.75
42,43.0,0.625
43,44.0,6.333333333333333
44,45.0,0.25
45,48.0,1.25
46,50.0,0.292
47,51.0,0.43137254901960786
48,52.0,4.07051282051282
49,53.0,0.25
50,54.0,9.595679012345679
51,56.0,0.25
52,57.0,0.6359649122807017
53,60.0,9.5
54,61.0,9.25
55,63.0,0.26587301587301587
56,72.0,0.7291666666666666
57,75.0,0.8833333333333333
58,79.0,0.25
59,85.0,0.5
60,87.0,1.25
61,100.0,1.16
62,102.0,2.3137254901960786
63,126.0,18.75
64,130.0,12.25
65,131.0,15.25
66,189.0,12.25
67,465.0,15.25
