,Trade Qty,Avg_Cost
0,1.0,0.26259492498610854
1,2.0,0.25250487058168664
2,3.0,0.2568288518992744
3,4.0,0.25336624775583483
4,5.0,0.2598501070663811
5,6.0,0.25293427230046944
6,7.0,0.25364741641337385
7,8.0,0.25
8,9.0,0.2600694444444444
9,10.0,0.25573913043478264
10,11.0,0.25609756097560976
11,12.0,0.2604166666666667
12,13.0,0.2658119658119658
13,14.0,0.26031746031746034
14,15.0,0.2558139534883721
15,16.0,0.25
16,17.0,0.25892857142857145
17,18.0,0.25
18,19.0,0.280808729139923
19,20.0,0.27358490566037735
20,21.0,0.25
21,22.0,0.2708333333333333
22,23.0,0.2708333333333333
23,24.0,0.25
24,25.0,0.2757142857142857
25,26.0,0.3333333333333333
26,27.0,0.32142857142857145
27,28.0,0.32142857142857145
28,29.0,0.2543103448275862
29,30.0,0.29166666666666663
30,31.0,0.3317972350230415
31,32.0,0.25
32,33.0,0.375
33,34.0,0.25
34,35.0,0.45714285714285713
35,36.0,0.375
36,37.0,0.3125
37,38.0,0.35
38,39.0,0.25
39,40.0,0.35
40,42.0,0.25
41,43.0,0.25
42,44.0,0.25
43,45.0,0.25
44,46.0,0.25
45,48.0,0.25
46,50.0,0.394
47,52.0,0.5
48,53.0,0.25
49,54.0,0.7407407407407407
50,55.0,0.375
51,57.0,0.6491228070175438
52,59.0,0.6398305084745762
53,63.0,0.25
54,64.0,0.25
55,66.0,0.5757575757575758
56,70.0,0.25
57,75.0,0.5
58,80.0,0.25
59,84.0,0.6547619047619048
60,98.0,0.25
61,100.0,0.5075000000000001
62,101.0,0.8316831683168316
63,148.0,0.5675675675675675
64,162.0,0.6265432098765432
