,Li,lamb,Co,Al,u,eta
0,1.0,0.9533125833703868,1945.0,2342.0,0.41524338172502134,0.3958567409597358
1,2.0,0.03868385949310805,51.0,123.0,-0.08536585365853666,-0.003302280688436056
2,3.0,0.0031124944419742106,7.0,7.0,0.5,0.0015562472209871053
3,4.0,0.0013339261894175188,2.0,4.0,-0.5,-0.0006669630947087594
4,5.0,0.0015562472209871053,2.0,5.0,-1.0,-0.0015562472209871053
5,6.0,0.0008892841262783459,1.0,3.0,-1.5,-0.0013339261894175188
6,7.0,0.00022232103156958648,1.0,0.0,inf,inf
7,8.0,0.00022232103156958648,0.0,1.0,-3.5,-0.0007781236104935527
8,14.0,0.00022232103156958648,1.0,0.0,inf,inf
9,19.0,0.00022232103156958648,0.0,1.0,-9.0,-0.002000889284126278
10,22.0,0.00022232103156958648,1.0,0.0,inf,inf
