,Li,lamb,Co,Al,u,eta
0,1.0,0.9277062831188494,1016.0,1434.0,0.3542538354253835,0.32864350894307914
1,2.0,0.045420136260408785,31.0,89.0,-0.151685393258427,-0.0068895712305114465
2,3.0,0.012112036336109008,10.0,22.0,-0.3181818181818181,-0.003853829743307411
3,4.0,0.00870552611657835,4.0,19.0,-1.0789473684210527,-0.009392804494202956
4,5.0,0.003785011355034065,1.0,9.0,-1.7222222222222223,-0.0065186306670031125
5,6.0,0.000757002271006813,0.0,2.0,-2.5,-0.0018925056775170325
6,7.0,0.0003785011355034065,0.0,1.0,-3.0,-0.0011355034065102195
7,13.0,0.0003785011355034065,1.0,0.0,inf,inf
8,17.0,0.0003785011355034065,0.0,1.0,-8.0,-0.003028009084027252
9,32.0,0.0003785011355034065,1.0,0.0,inf,inf
