side,same,same,same,same,opps,opps,opps,opps
event,DC  ,DT  ,DT+F,F   ,DC  ,DT  ,DT+F,F   
DC  ,7,6,19,2081,7,6,185,204
DT  ,6,33,82,2139,5,6,380,780
DT+F,4,5,36,497,2,2,88,157
F   ,1442,990,1,39,1042,2383,0,36
