,Li,lamb,Co,Al,u,eta
0,1.0,0.9540409136776442,4128.0,6271.0,0.3291341093924414,0.3140074064472425
1,2.0,0.03742775892119989,104.0,304.0,-0.1578947368421053,-0.005909646145452616
2,3.0,0.0043115310521970466,17.0,30.0,-0.15000000000000002,-0.0006467296578295571
3,4.0,0.0013760205485735253,8.0,7.0,0.7857142857142856,0.0010811590024506269
4,5.0,0.0009173470323823503,5.0,5.0,0.5,0.00045867351619117514
5,6.0,0.0007338776259058802,1.0,7.0,-2.0714285714285716,-0.001520175082233609
6,7.0,0.00027520410971470507,2.0,1.0,4.0,0.0011008164388588203
7,8.0,0.0003669388129529401,3.0,1.0,8.5,0.0031189799100999906
8,9.0,9.173470323823502e-05,0.0,1.0,-4.0,-0.0003669388129529401
9,10.0,9.173470323823502e-05,0.0,1.0,-4.5,-0.0004128061645720576
10,11.0,9.173470323823502e-05,1.0,0.0,inf,inf
11,12.0,9.173470323823502e-05,1.0,0.0,inf,inf
12,14.0,9.173470323823502e-05,0.0,1.0,-6.5,-0.0005962755710485276
13,17.0,9.173470323823502e-05,1.0,0.0,inf,inf
