,Li,lamb,Co,Al,u,eta
0,1.0,0.9475915875169606,4432.0,6741.0,0.3287346091084409,0.31150615011683497
1,2.0,0.0403663500678426,108.0,368.0,-0.2065217391304348,-0.0083365288183588
2,3.0,0.003816146540027137,15.0,30.0,-0.25,-0.0009540366350067843
3,4.0,0.0018656716417910447,10.0,12.0,0.16666666666666674,0.00031094527363184095
4,5.0,0.0011024423337856173,7.0,6.0,0.9166666666666669,0.0010105721393034828
5,6.0,0.0008480325644504749,4.0,6.0,-0.5,-0.00042401628222523747
6,7.0,0.0006784260515603799,3.0,5.0,-0.9000000000000001,-0.0006105834464043419
7,8.0,0.0008480325644504749,1.0,9.0,-3.0555555555555554,-0.002591210613598673
8,9.0,0.0006784260515603799,3.0,5.0,-1.3,-0.0008819538670284938
9,10.0,0.0011024423337856173,1.0,12.0,-4.083333333333333,-0.004501639529624604
10,12.0,0.00025440976933514245,0.0,3.0,-5.5,-0.0013992537313432835
11,13.0,0.00042401628222523747,2.0,3.0,-1.666666666666667,-0.0007066938037087292
12,17.0,8.480325644504748e-05,1.0,0.0,inf,inf
13,19.0,8.480325644504748e-05,0.0,1.0,-9.0,-0.0007632293080054274
14,24.0,8.480325644504748e-05,0.0,1.0,-11.5,-0.000975237449118046
15,26.0,0.00016960651289009497,0.0,2.0,-12.5,-0.002120081411126187
