,Li,lamb,Co,Al,u,eta
0,1.0,0.9440365597842373,5170.0,7430.0,0.34791386271870794,0.32844340606221445
1,2.0,0.04622415343122565,103.0,514.0,-0.2996108949416343,-0.013849259977448932
2,3.0,0.005618819298771351,23.0,52.0,-0.33653846153846156,-0.001890948802471128
3,4.0,0.0011237638597542702,6.0,9.0,-0.16666666666666674,-0.00018729397662571178
4,5.0,0.0006742583158525622,8.0,1.0,18.0,0.01213664968534612
5,6.0,0.0005993407252022775,4.0,4.0,0.5,0.00029967036260113877
6,7.0,0.00029967036260113877,0.0,4.0,-3.0,-0.0008990110878034164
7,8.0,0.00029967036260113877,2.0,2.0,0.5,0.00014983518130056938
8,9.0,7.491759065028469e-05,1.0,0.0,inf,inf
9,10.0,0.00014983518130056938,0.0,2.0,-4.5,-0.0006742583158525623
10,11.0,0.00022475277195085406,2.0,1.0,6.0,0.0013485166317051243
11,12.0,0.00014983518130056938,0.0,2.0,-5.5,-0.0008240934971531316
12,13.0,7.491759065028469e-05,0.0,1.0,-6.0,-0.0004495055439017082
13,14.0,0.00014983518130056938,2.0,0.0,inf,inf
14,16.0,0.00014983518130056938,0.0,2.0,-7.5,-0.0011237638597542704
15,21.0,7.491759065028469e-05,0.0,1.0,-10.0,-0.0007491759065028469
16,29.0,7.491759065028469e-05,1.0,0.0,inf,inf
