,Li,lamb,Co,Al,u,eta
0,1.0,0.9622728318380492,3343.0,5022.0,0.33283552369573877,0.3202785819229987
1,2.0,0.024844720496894408,37.0,179.0,-0.2932960893854748,-0.00728685936361428
2,3.0,0.004255808603634691,8.0,29.0,-0.5862068965517242,-0.002494784353854819
3,4.0,0.00322061191626409,5.0,23.0,-1.065217391304348,-0.003430651823846531
4,5.0,0.001725327812284334,4.0,11.0,-1.0909090909090908,-0.0018821757952192733
5,6.0,0.0005751092707614447,0.0,5.0,-2.5,-0.0014377731769036118
6,7.0,0.0003450655624568668,3.0,0.0,inf,inf
7,8.0,0.0005751092707614447,1.0,4.0,-2.5,-0.0014377731769036118
8,9.0,0.00046008741660915573,1.0,3.0,-2.5000000000000004,-0.0011502185415228896
9,10.0,0.00011502185415228893,1.0,0.0,inf,inf
10,11.0,0.00011502185415228893,0.0,1.0,-5.0,-0.0005751092707614447
11,12.0,0.0003450655624568668,0.0,3.0,-5.5,-0.0018978605935127675
12,14.0,0.00046008741660915573,0.0,4.0,-6.5,-0.0029905682079595123
13,17.0,0.00011502185415228893,0.0,1.0,-8.0,-0.0009201748332183115
14,18.0,0.00023004370830457787,1.0,1.0,0.5,0.00011502185415228893
15,21.0,0.00023004370830457787,0.0,2.0,-10.0,-0.002300437083045779
16,47.0,0.00011502185415228893,1.0,0.0,inf,inf
