side,same,same,same,same,opps,opps,opps,opps
event,DC  ,DT  ,DT+F,F   ,DC  ,DT  ,DT+F,F   
DC  ,0,3,23,7945,0,1,933,99
DT  ,2,14,197,5035,3,2,1005,954
DT+F,3,3,54,1936,0,0,433,216
F   ,5397,2070,0,3,3599,5120,0,8
