,Li,lamb,Co,Al,u,eta
0,1.0,0.9568536931818182,3775.0,7002.0,0.26956583833190517,0.25793506796353644
1,2.0,0.030184659090909092,56.0,284.0,-0.30281690140845074,-0.009140424935979516
2,3.0,0.0068359375,21.0,56.0,-0.4375,-0.00299072265625
3,4.0,0.0023082386363636365,9.0,17.0,-0.4411764705882353,-0.0010183405748663101
4,5.0,0.0022194602272727275,6.0,19.0,-1.2105263157894737,-0.0026867150119617225
5,6.0,0.0005326704545454545,0.0,6.0,-2.5,-0.0013316761363636363
6,7.0,0.0003551136363636364,0.0,4.0,-3.0,-0.001065340909090909
7,9.0,0.0001775568181818182,1.0,1.0,0.5,8.87784090909091e-05
8,10.0,0.00026633522727272725,0.0,3.0,-4.5,-0.0011985085227272725
9,11.0,8.87784090909091e-05,0.0,1.0,-5.0,-0.0004438920454545455
10,12.0,8.87784090909091e-05,0.0,1.0,-5.5,-0.00048828125
11,79.0,8.87784090909091e-05,1.0,0.0,inf,inf
