,Li,lamb,Co,Al,u,eta
0,1.0,0.9549127343244991,2171.0,3737.0,0.2904736419587905,0.27737697969206415
1,2.0,0.03232062055591468,23.0,177.0,-0.3700564971751412,-0.011960455629448651
2,3.0,0.005817711700064641,8.0,28.0,-0.5714285714285714,-0.0033244066857512234
3,4.0,0.0019392372333548805,3.0,9.0,-0.8333333333333335,-0.001616031027795734
4,5.0,0.0019392372333548805,1.0,11.0,-1.7727272727272725,-0.0034377387318563785
5,6.0,0.0014544279250161603,2.0,7.0,-1.6428571428571428,-0.002389417305383692
6,7.0,0.0003232062055591467,1.0,1.0,0.5,0.00016160310277957336
7,8.0,0.0003232062055591467,2.0,0.0,inf,inf
8,9.0,0.00016160310277957336,0.0,1.0,-4.0,-0.0006464124111182935
9,11.0,0.00016160310277957336,1.0,0.0,inf,inf
10,12.0,0.00016160310277957336,0.0,1.0,-5.5,-0.0008888170652876535
11,19.0,0.00016160310277957336,0.0,1.0,-9.0,-0.0014544279250161603
12,20.0,0.00016160310277957336,0.0,1.0,-9.5,-0.001535229476405947
13,39.0,0.00016160310277957336,1.0,0.0,inf,inf
