,Li,lamb,Co,Al,u,eta
0,1.0,0.9520417377345239,3211.0,6277.0,0.25577505177632626,0.24350852476227147
1,2.0,0.03411257148590348,46.0,294.0,-0.34353741496598644,-0.0117189446261097
2,3.0,0.006220527741547106,19.0,43.0,-0.33720930232558133,-0.0020976198198240236
3,4.0,0.002909601685562356,9.0,20.0,-0.6000000000000001,-0.0017457610113374138
4,5.0,0.0013043042038727803,5.0,8.0,-0.4375,-0.0005706330891943413
5,6.0,0.0005016554630279924,1.0,4.0,-1.75,-0.0008778970602989867
6,7.0,0.0004013243704223939,1.0,3.0,-1.8333333333333335,-0.000735761345774389
7,8.0,0.00010033109260559848,1.0,0.0,inf,inf
8,9.0,0.00030099327781679544,3.0,0.0,inf,inf
9,10.0,0.00020066218521119696,1.0,1.0,0.5,0.00010033109260559848
10,12.0,0.00030099327781679544,1.0,2.0,-2.5,-0.0007524831945419886
11,13.0,0.00030099327781679544,1.0,2.0,-2.75,-0.0008277315139961875
12,17.0,0.00010033109260559848,0.0,1.0,-8.0,-0.0008026487408447879
13,18.0,0.00010033109260559848,1.0,0.0,inf,inf
14,20.0,0.0004013243704223939,0.0,4.0,-9.5,-0.0038125815190127423
15,23.0,0.00020066218521119696,0.0,2.0,-11.0,-0.0022072840373231666
16,24.0,0.00020066218521119696,0.0,2.0,-11.5,-0.002307615129928765
17,26.0,0.00010033109260559848,0.0,1.0,-12.5,-0.001254138657569981
18,29.0,0.00010033109260559848,1.0,0.0,inf,inf
19,32.0,0.00010033109260559848,1.0,0.0,inf,inf
