,Li,lamb,Co,Al,u,eta
0,1.0,0.9668308702791462,1286.0,1657.0,0.38805069402534703,0.37517939021695296
1,2.0,0.0187192118226601,10.0,47.0,-0.2872340425531915,-0.0053767948852321565
2,3.0,0.006896551724137931,4.0,17.0,-0.6470588235294117,-0.004462474645030425
3,4.0,0.002627257799671593,2.0,6.0,-0.8333333333333335,-0.002189381499726328
4,5.0,0.0013136288998357964,2.0,2.0,0.5,0.0006568144499178982
5,6.0,0.0013136288998357964,2.0,2.0,0.5,0.0006568144499178982
6,7.0,0.0006568144499178982,2.0,0.0,inf,inf
7,8.0,0.0006568144499178982,1.0,1.0,0.5,0.0003284072249589491
8,10.0,0.0006568144499178982,0.0,2.0,-4.5,-0.002955665024630542
9,29.0,0.0003284072249589491,1.0,0.0,inf,inf
