,Li,lamb,Co,Al,u,eta
0,1.0,0.975474956822107,1231.0,1592.0,0.3866206030150754,0.3771387160326677
1,2.0,0.019689119170984457,16.0,41.0,-0.1097560975609756,-0.002161000884620245
2,3.0,0.0017271157167530224,1.0,4.0,-0.625,-0.001079447322970639
3,4.0,0.000690846286701209,1.0,1.0,0.5,0.0003454231433506045
4,5.0,0.000690846286701209,0.0,2.0,-2.0,-0.001381692573402418
5,8.0,0.0003454231433506045,0.0,1.0,-3.5,-0.0012089810017271157
6,10.0,0.0003454231433506045,1.0,0.0,inf,inf
7,12.0,0.0003454231433506045,0.0,1.0,-5.5,-0.0018998272884283246
8,23.0,0.0003454231433506045,0.0,1.0,-11.0,-0.0037996545768566492
9,24.0,0.0003454231433506045,0.0,1.0,-11.5,-0.003972366148531951
