,Li,lamb,Co,Al,u,eta
0,1.0,0.9574742268041238,1571.0,2143.0,0.3665422305179655,0.3509547387562479
1,2.0,0.031958762886597936,26.0,98.0,-0.23469387755102034,-0.007500525983589309
2,3.0,0.007216494845360825,7.0,21.0,-0.5,-0.0036082474226804126
3,4.0,0.0018041237113402063,1.0,6.0,-1.1666666666666667,-0.002104810996563574
4,5.0,0.0002577319587628866,0.0,1.0,-2.0,-0.0005154639175257732
5,8.0,0.0002577319587628866,0.0,1.0,-3.5,-0.0009020618556701031
6,10.0,0.0002577319587628866,0.0,1.0,-4.5,-0.0011597938144329897
7,12.0,0.0002577319587628866,1.0,0.0,inf,inf
8,13.0,0.0002577319587628866,0.0,1.0,-6.0,-0.0015463917525773197
9,15.0,0.0002577319587628866,0.0,1.0,-7.0,-0.0018041237113402063
