,Trade Qty,Avg_Cost
0,1.0,0.5152822051378211
1,2.0,0.5053802885791147
2,3.0,0.5103244837758112
3,4.0,0.510551948051948
4,5.0,0.5166959578207382
5,6.0,0.5125786163522013
6,7.0,0.5251479289940829
7,8.0,0.5159438775510204
8,9.0,0.5255427841634739
9,10.0,0.5486772486772487
10,11.0,0.5383653044203502
11,12.0,0.5138888888888888
12,13.0,0.5374358974358974
13,14.0,0.520952380952381
14,15.0,0.525
15,16.0,0.5192307692307693
16,17.0,0.5
17,18.0,0.611111111111111
18,19.0,0.5801435406698565
19,20.0,0.6060606060606061
20,21.0,0.5952380952380952
21,22.0,0.5
22,23.0,0.5
23,24.0,0.5833333333333334
24,25.0,0.6319999999999999
25,26.0,0.5443786982248521
26,27.0,0.625
27,28.0,0.5
28,30.0,0.5
29,31.0,0.6451612903225806
30,32.0,0.6875
31,34.0,0.5
32,35.0,0.5
33,37.0,0.75
34,39.0,0.5
35,40.0,1.4625
36,41.0,1.0121951219512195
37,42.0,0.5
38,43.0,0.5
39,47.0,0.7021276595744681
40,48.0,1.9166666666666667
41,51.0,2.549019607843137
42,52.0,1.0
43,54.0,0.5
44,62.0,1.0
45,64.0,0.5
46,80.0,2.0875
47,85.0,0.5
48,96.0,1.1666666666666667
49,105.0,1.4142857142857144
50,114.0,1.1666666666666667
51,115.0,1.5956521739130434
52,130.0,1.4538461538461538
53,138.0,1.3043478260869565
54,145.0,1.9965517241379311
55,219.0,2.2488584474885847
