,Li,lamb,Co,Al,u,eta
0,1.0,0.9629629629629629,850.0,1307.0,0.32517214996174443,0.31312873700019833
1,2.0,0.0321285140562249,9.0,63.0,-0.3571428571428572,-0.011474469305794608
2,3.0,0.0031236055332440876,3.0,4.0,0.125,0.00039045069165551094
3,4.0,0.000892458723784025,1.0,1.0,0.5,0.0004462293618920125
4,5.0,0.0004462293618920125,0.0,1.0,-2.0,-0.000892458723784025
5,11.0,0.0004462293618920125,1.0,0.0,inf,inf
