,Li,lamb,Co,Al,u,eta
0,1.0,0.9595679012345679,1285.0,1823.0,0.35244103126714205,0.33819110068195823
1,2.0,0.02345679012345679,11.0,65.0,-0.3307692307692307,-0.007758784425451091
2,3.0,0.005246913580246914,3.0,14.0,-0.6785714285714286,-0.0035604056437389775
3,4.0,0.0024691358024691358,0.0,8.0,-1.5,-0.003703703703703704
4,5.0,0.0024691358024691358,2.0,6.0,-1.166666666666667,-0.0028806584362139924
5,6.0,0.001851851851851852,2.0,4.0,-1.0,-0.001851851851851852
6,8.0,0.00030864197530864197,0.0,1.0,-3.5,-0.0010802469135802468
7,9.0,0.0012345679012345679,1.0,3.0,-2.5000000000000004,-0.0030864197530864204
8,10.0,0.00030864197530864197,0.0,1.0,-4.5,-0.001388888888888889
9,11.0,0.0012345679012345679,1.0,3.0,-3.166666666666667,-0.003909465020576132
10,12.0,0.0006172839506172839,0.0,2.0,-5.5,-0.0033950617283950617
11,17.0,0.0006172839506172839,1.0,1.0,0.5,0.00030864197530864197
12,21.0,0.00030864197530864197,0.0,1.0,-10.0,-0.0030864197530864196
13,31.0,0.00030864197530864197,1.0,0.0,inf,inf
