,Li,lamb,Co,Al,u,eta
0,1.0,0.9352376262004433,1294.0,2503.0,0.25848981222532963,0.2417493983826156
1,2.0,0.04087663137158335,39.0,127.0,-0.19291338582677164,-0.007885649359084977
2,3.0,0.009357301157350407,11.0,27.0,-0.38888888888888884,-0.0036389504500807133
3,4.0,0.002954937207584339,4.0,8.0,-0.5,-0.0014774686037921695
4,5.0,0.0036936715094804235,4.0,11.0,-1.0909090909090908,-0.004029459828524098
5,6.0,0.002708692440285644,4.0,7.0,-0.7857142857142858,-0.0021282583459387204
6,7.0,0.0007387343018960847,1.0,2.0,-1.25,-0.000923417877370106
7,8.0,0.0014774686037921695,1.0,5.0,-2.7,-0.003989165230238858
8,10.0,0.0007387343018960847,1.0,2.0,-2.0,-0.0014774686037921695
9,11.0,0.0002462447672986949,1.0,0.0,inf,inf
10,12.0,0.0007387343018960847,0.0,3.0,-5.5,-0.004063038660428466
11,13.0,0.0009849790691947797,0.0,4.0,-6.0,-0.005909874415168678
12,14.0,0.0002462447672986949,0.0,1.0,-6.5,-0.0016005909874415168
