side,same,same,same,same,opps,opps,opps,opps
event,DC  ,DT  ,DT+F,F   ,DC  ,DT  ,DT+F,F   
DC  ,0,5,15,2531,5,1,364,81
DT  ,1,9,81,2356,6,4,513,390
DT+F,2,5,31,805,1,6,265,155
F   ,1748,1182,0,7,1239,2148,0,17
