,Li,lamb,Co,Al,u,eta
0,1.0,0.9536058796508957,1463.0,2688.0,0.2721354166666667,0.25950993339457973
1,2.0,0.025953146531924667,23.0,90.0,-0.24444444444444446,-0.006344102485581586
2,3.0,0.00666054203031695,10.0,19.0,-0.21052631578947367,-0.0014022193748035683
3,4.0,0.004134129536058797,4.0,14.0,-0.9285714285714286,-0.003838834569197454
4,5.0,0.0022967386311437757,1.0,9.0,-1.7222222222222223,-0.003955494309192059
5,6.0,0.001607717041800643,2.0,5.0,-1.2999999999999998,-0.0020900321543408356
6,7.0,0.0018373909049150207,0.0,8.0,-3.0,-0.005512172714745062
7,8.0,0.00045934772622875517,1.0,1.0,0.5,0.00022967386311437759
8,9.0,0.0013780431786862655,2.0,4.0,-1.75,-0.0024115755627009644
9,11.0,0.00045934772622875517,0.0,2.0,-5.0,-0.0022967386311437757
10,13.0,0.00045934772622875517,0.0,2.0,-6.0,-0.002756086357372531
11,16.0,0.0009186954524575103,1.0,3.0,-4.833333333333334,-0.004440361353544634
12,18.0,0.00022967386311437759,0.0,1.0,-8.5,-0.0019522278364722094
