,Li,lamb,Co,Al,u,eta
0,1.0,0.9666666666666667,1215.0,2177.0,0.2790537436839688,0.2697519522278365
1,2.0,0.021367521367521368,15.0,60.0,-0.25,-0.005341880341880342
2,3.0,0.0062678062678062675,6.0,16.0,-0.4375,-0.0027421652421652423
3,4.0,0.002849002849002849,3.0,7.0,-0.6428571428571428,-0.0018315018315018315
4,5.0,0.0014245014245014246,1.0,4.0,-1.375,-0.001958689458689459
5,6.0,0.0002849002849002849,0.0,1.0,-2.5,-0.0007122507122507122
6,10.0,0.0002849002849002849,1.0,0.0,inf,inf
7,14.0,0.0002849002849002849,1.0,0.0,inf,inf
8,15.0,0.0002849002849002849,0.0,1.0,-7.0,-0.001994301994301994
9,22.0,0.0002849002849002849,1.0,0.0,inf,inf
