,Li,lamb,Co,Al,u,eta
0,1.0,0.9847634322373697,373.0,854.0,0.21838407494145196,0.21505665118532719
1,2.0,0.0024057738572574178,3.0,0.0,inf,inf
2,3.0,0.0032076984763432237,2.0,2.0,0.5,0.0016038492381716118
3,4.0,0.0016038492381716118,1.0,1.0,0.5,0.0008019246190858059
4,5.0,0.0024057738572574178,1.0,2.0,-0.75,-0.0018043303929430633
5,7.0,0.0008019246190858059,0.0,1.0,-3.0,-0.0024057738572574178
6,9.0,0.0008019246190858059,0.0,1.0,-4.0,-0.0032076984763432237
7,10.0,0.0024057738572574178,0.0,3.0,-4.5,-0.01082598235765838
8,12.0,0.0008019246190858059,0.0,1.0,-5.5,-0.004410585404971933
9,16.0,0.0008019246190858059,0.0,1.0,-7.5,-0.006014434643143544
