,Li,lamb,Co,Al,u,eta
0,1.0,0.9627188465499485,1498.0,3175.0,0.2359055118110236,0.2271106822254839
1,2.0,0.024098867147270855,31.0,86.0,-0.13953488372093026,-0.003362632625200585
2,3.0,0.00576725025746653,3.0,25.0,-0.8200000000000001,-0.004729145211122555
3,4.0,0.0024716786817713696,0.0,12.0,-1.5,-0.003707518022657054
4,5.0,0.0008238928939237899,1.0,3.0,-1.166666666666667,-0.0009612083762444219
5,6.0,0.0018537590113285273,2.0,7.0,-1.6428571428571428,-0.003045461232896866
6,7.0,0.0006179196704428424,0.0,3.0,-3.0,-0.001853759011328527
7,8.0,0.0008238928939237899,1.0,3.0,-2.166666666666667,-0.0017851012701682117
8,9.0,0.00020597322348094748,0.0,1.0,-4.0,-0.0008238928939237899
9,10.0,0.00020597322348094748,0.0,1.0,-4.5,-0.0009268795056642636
10,15.0,0.00020597322348094748,1.0,0.0,inf,inf
11,32.0,0.00020597322348094748,0.0,1.0,-15.5,-0.003192584963954686
