side,same,same,same,same,opps,opps,opps,opps
event,DC  ,DT  ,DT+F,F   ,DC  ,DT  ,DT+F,F   
DC  ,8,4,34,3888,4,1,782,112
DT  ,4,9,137,3699,6,3,993,491
DT+F,0,3,99,1660,1,0,470,281
F   ,2982,1932,0,7,1827,3390,0,18
