,Li,lamb,Co,Al,u,eta
0,1.0,0.9776756401838477,1212.0,1765.0,0.343342776203966,0.33567786852771203
1,2.0,0.014445173998686802,18.0,26.0,0.1923076923076923,0.0027779180766705387
2,3.0,0.002298095863427446,1.0,6.0,-0.75,-0.0017235718975705844
3,4.0,0.001969796454366382,2.0,4.0,-0.5,-0.000984898227183191
4,5.0,0.00032829940906106366,0.0,1.0,-2.0,-0.0006565988181221273
5,6.0,0.0016414970453053185,1.0,4.0,-1.75,-0.0028726198292843073
6,7.0,0.0006565988181221273,0.0,2.0,-3.0,-0.001969796454366382
7,9.0,0.0006565988181221273,0.0,2.0,-4.0,-0.0026263952724885093
8,10.0,0.00032829940906106366,0.0,1.0,-4.5,-0.0014773473407747864
