side,same,same,same,same,opps,opps,opps,opps
event,DC  ,DT  ,DT+F,F   ,DC  ,DT  ,DT+F,F   
DC  ,5,1,2,437,0,3,63,6
DT  ,4,5,14,311,2,2,104,48
DT+F,0,0,2,161,0,0,40,21
F   ,191,88,0,6,315,391,0,7
