side,same,same,same,same,opps,opps,opps,opps
event,DC  ,DT  ,DT+F,F   ,DC  ,DT  ,DT+F,F   
DC  ,0,0,0,297,0,0,0,0
DT  ,0,0,0,31,0,0,3,4
DT+F,0,0,0,2,0,0,0,1
F   ,200,14,0,0,96,25,0,0
