side,same,same,same,same,opps,opps,opps,opps
event,DC  ,DT  ,DT+F,F   ,DC  ,DT  ,DT+F,F   
DC  ,0,0,0,2190,0,0,68,6
DT  ,0,0,10,817,0,0,101,54
DT+F,0,0,3,166,0,0,30,13
F   ,1549,306,0,0,715,676,0,0
